date,location,percent_fully,left
2021-05-21,Cambodia,0.08655993242646333,0.04660890912484984
2021-05-22,Cambodia,0.09056011880156979,0.04419961013150868
2021-05-23,Cambodia,0.09391528940387539,0.041850243056226366
2021-05-24,Cambodia,0.0985104884744402,0.03791387639825443
2021-05-25,Cambodia,0.10159423088897038,0.036382083562439355
2021-05-26,Cambodia,0.10474825274833002,0.03653442547391225
2021-05-12,Cameroon,3.401659859328745e-5,0.0016042047077465629
2021-05-18,Cameroon,6.712910154289948e-5,0.0016546457105332869
2021-05-21,Cameroon,1.2988840747470113e-4,0.0016277488651339433
2021-05-24,Cameroon,1.914799232000887e-4,0.0017645686725434892
2021-05-26,Cameroon,3.106321949061443e-4,0.0018208862970141035
2021-01-06,Canada,1.1393095524455585e-5,0.0048354417051468465
2021-01-07,Canada,2.8800685662984234e-5,0.005756745699510497
2021-01-08,Canada,5.370652239086388e-5,0.006798763515291403
2021-01-09,Canada,7.789697870209167e-5,0.007693280487387088
2021-01-10,Canada,7.794996984406588e-5,0.00831216403450391
2021-01-11,Canada,7.794996984406588e-5,0.009357308327661294
2021-01-12,Canada,8.009611109402147e-5,0.010133151637305732
2021-01-13,Canada,3.161186574471618e-4,0.0104749445030394
2021-01-14,Canada,3.839738147451403e-4,0.011406555274517035
2021-01-15,Canada,4.7676130434198556e-4,0.012497934339046918
2021-01-16,Canada,5.064363438475443e-4,0.013381932569460723
2021-01-17,Canada,5.379660733222004e-4,0.014046203029678458
2021-01-18,Canada,5.573078401427879e-4,0.015171310956074928
2021-01-19,Canada,6.4609449852058e-4,0.016026720465393645
2021-01-20,Canada,9.816079139303034e-4,0.016484113507344057
2021-01-21,Canada,0.001145986436334309,0.017284650689148476
2021-01-22,Canada,0.0013112923037228636,0.017954034794566722
2021-01-23,Canada,0.0014255677013902518,0.01837812290378634
2021-01-24,Canada,0.0014954365220832503,0.018641462383827186
2021-01-25,Canada,0.0017130181510293648,0.018828892052989973
2021-01-26,Canada,0.0019291690191421756,0.01915184656775181
2021-01-27,Canada,0.0021778299528561655,0.019260478408798947
2021-01-28,Canada,0.002436108778838475,0.019398440846928808
2021-01-29,Canada,0.0026806893946204505,0.019470243844303865
2021-01-30,Canada,0.002901291518659095,0.019426817603455996
2021-01-31,Canada,0.0029645894377472917,0.019433150044921917
2021-02-01,Canada,0.0030818853305072096,0.019682446872339596
2021-02-02,Canada,0.0032082692041157054,0.01976643783236872
2021-02-03,Canada,0.0034479481392650662,0.019638570206784948
2021-02-04,Canada,0.0037739496446904186,0.019479331825152442
2021-02-05,Canada,0.004120140775207946,0.019391975927607955
2021-02-06,Canada,0.004477407054398083,0.019246276782749858
2021-02-07,Canada,0.004678693907187128,0.019186211323322086
2021-02-08,Canada,0.004966170852397228,0.019179560935004322
2021-02-09,Canada,0.005406659720057865,0.018981400559591757
2021-02-10,Canada,0.005934769440972862,0.01871368931033804
2021-02-11,Canada,0.006467568877952577,0.01850686488321269
2021-02-12,Canada,0.007069707224205548,0.018233907510903525
2021-02-13,Canada,0.007616681791663364,0.018020591668886334
2021-02-14,Canada,0.00799456162508147,0.0177370890593243
2021-02-15,Canada,0.008213150085725094,0.0175611849635409
2021-02-16,Canada,0.008684453302443737,0.01731162318041335
2021-02-17,Canada,0.009099188475104908,0.01702478212890694
2021-02-18,Canada,0.00962138968368978,0.016696422517663737
2021-02-19,Canada,0.010272173898275077,0.016662667160226165
2021-02-20,Canada,0.010716557614870819,0.01709091507409076
2021-02-21,Canada,0.011061317984555043,0.017524727057862646
2021-02-22,Canada,0.011910977954969558,0.01746105820078063
2021-02-23,Canada,0.012393886231780553,0.01777662045123706
2021-02-24,Canada,0.012772110507621491,0.018241352766350902
2021-02-25,Canada,0.013217580542627705,0.01891081635848211
2021-02-26,Canada,0.0135650699561236,0.019997691175944184
2021-02-27,Canada,0.013771920878819935,0.021219534432014582
2021-02-28,Canada,0.013910837157505332,0.022177031376346613
2021-03-01,Canada,0.014260949632528951,0.02304378099004781
2021-03-02,Canada,0.014524977997415462,0.024424412203043935
2021-03-03,Canada,0.014689859935668223,0.026041065962393195
2021-03-04,Canada,0.014807897704415781,0.027864146715302997
2021-03-05,Canada,0.014889742523194952,0.02997263775888591
2021-03-06,Canada,0.014949251575631992,0.0318261619228599
2021-03-07,Canada,0.014989047923254624,0.03327183976262936
2021-03-08,Canada,0.015250903651320194,0.03504473790408958
2021-03-09,Canada,0.015341783459805967,0.036701373480058384
2021-03-10,Canada,0.015459715246269577,0.03853311828468098
2021-03-11,Canada,0.015570148786143833,0.04090955903765649
2021-03-12,Canada,0.015650244897237854,0.04368632137267618
2021-03-13,Canada,0.015720643629350595,0.04629690348646476
2021-03-14,Canada,0.015773687762466782,0.048645841836755646
2021-03-15,Canada,0.01592166552642977,0.05165229427666256
2021-03-16,Canada,0.016027727297091156,0.05461974523607647
2021-03-17,Canada,0.016164179487674752,0.05802143210839805
2021-03-18,Canada,0.016312819640912416,0.06186625740547898
2021-03-19,Canada,0.016469673421156083,0.06587090398675412
2021-03-20,Canada,0.016591897490119602,0.06916024963809037
2021-03-21,Canada,0.016691043916753353,0.07138895108724178
2021-03-22,Canada,0.016785262167183502,0.07507610124137845
2021-03-23,Canada,0.016888992327598024,0.07812001841866113
2021-03-24,Canada,0.017019986430558274,0.08237828060542486
2021-03-25,Canada,0.017195387110492916,0.08706359840535877
2021-03-26,Canada,0.017415300349685896,0.09237280741532605
2021-03-27,Canada,0.017557422592460733,0.09650182420681468
2021-03-28,Canada,0.017662821973847442,0.10017098386825109
2021-03-29,Canada,0.01781069375552648,0.10483783425520699
2021-03-30,Canada,0.018002919123037933,0.10894835713814661
2021-03-31,Canada,0.01817527281230906,0.11441932160899017
2021-04-01,Canada,0.018444308840112132,0.11935165761723687
2021-04-02,Canada,0.018551589407038924,0.1233828792562121
2021-04-03,Canada,0.018663453707746486,0.1284824553085294
2021-04-04,Canada,0.018663559690030435,0.1315055734625872
2021-04-05,Canada,0.019036060922538157,0.13561665275251758
2021-04-06,Canada,0.019367149577593036,0.14033911734297538
2021-04-07,Canada,0.019783368502229483,0.1456411195576342
2021-04-08,Canada,0.02023538294326951,0.15168995243170655
2021-04-09,Canada,0.02067714359833753,0.1591991946830172
2021-04-10,Canada,0.021042411539965774,0.16497138730041316
2021-04-11,Canada,0.021123991403035072,0.16961383526648993
2021-04-12,Canada,0.021611350935771902,0.17750919747379568
2021-04-13,Canada,0.02196660355156702,0.18396396899096149
2021-04-14,Canada,0.022272229962903286,0.19123604938636654
2021-04-15,Canada,0.022642744027586977,0.1986143770214299
2021-04-16,Canada,0.02342240269945356,0.20554490301124018
2021-04-17,Canada,0.024059568190551484,0.21100513677583396
2021-04-18,Canada,0.02419612636341903,0.21605013195191786
